"categorySetId","questionType","questionPhrase","Answer1","Answer2","Answer3","Answer4","Answer5","CorrectAnswerAsLetter","textIfCorrect","textIfIncorrect","questionImageId","solutionImageId","autor","pointsToAchieve"
"5.10.1","Multiple Choice","<SPAN STYLE="""" >Die beiden Anschl&uuml;sse der Sekund&auml;rseite eines Spannungswandlers..</SPAN>","<SPAN STYLE="""" >sind zu verbinden (kurzschliessen) oder es ist ein Messger&auml;t anzuschliessen.</SPAN>","<SPAN STYLE="""" >sind offen zu lassen oder es ist ein Messger&auml;t anzuschliessen.</SPAN>","<SPAN STYLE="""" >m&uuml;ssen abgesichert sein, weil im Kurzschlussfall ein grosser Strom fliessen kann.</SPAN>","<SPAN STYLE="""" >f&uuml;hren eine sehr hohe Leerlaufspannung, wenn kein Messger&auml;t angeschlossen ist, was zu einem Durchschlag f&uuml;hren kann.</SPAN>","VOID","cb","<SPAN STYLE="""" >Ein Spannungswandler arbeitet nach dem Transformatorenprinzip. Prim&auml;rseitig hat es viele, sekund&auml;rseitig wenig Windungen. Viele Windungen bedeutet grosse Spannung und kleiner Strom. Wenig Windungen bedeutet kleine Spannung und grosser Strom. Im Kurzschlussfall kann ein sehr grosser Strom fliessen. Deshalb sind die Klemmen offen zu lassen, oder ein Messger&auml;t anzuschliessen</SPAN>","<SPAN STYLE="""" >Ein Spannungswandler arbeitet nach dem Transformatorenprinzip. Prim&auml;rseitig hat es viele, sekund&auml;rseitig wenig Windungen. Viele Windungen bedeutet grosse Spannung und kleiner Strom. Wenig Windungen bedeutet kleine Spannung und grosser Strom. Im Kurzschlussfall kann ein sehr grosser Strom fliessen. Deshalb sind die Klemmen offen zu lassen, oder ein Messger&auml;t anzuschliessen</SPAN>","855","856","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.1","Multiple Choice","<SPAN STYLE="""" >Das abgebildete Votmeter hat eine Aufl&ouml;sung von 2000 Counts.<BR>Wie wird der Messwert 31,62V angezeigt</SPAN>","<SPAN STYLE="""" >Gem&auml;ss Abbildung a</SPAN>","<SPAN STYLE="""" >Gem&auml;ss Abbildung b</SPAN>","<SPAN STYLE="""" >Gem&auml;ss Abbildung c</SPAN>","<SPAN STYLE="""" >Gem&auml;ss Abbildung d</SPAN>","VOID","a","VOID","<SPAN STYLE="""" >Bei 2000 Counts betr&auml;gt der h&ouml;chste Wert der angezeigt werden kann 1999</SPAN>","857","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.1","Multiple Choice","<SPAN STYLE="""" >Welches Ger&auml;t ist falsch eingestellt, und zeigt einen Messwert an, der vom Innenwiderstand des Messger&auml;tes abh&auml;ngig ist?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","c","VOID","VOID","858","859","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.1","Multiple Choice","<SPAN STYLE="""" >Welches Ger&auml;t ist falsch eingestellt?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","d","VOID","VOID","860","861","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.1","Multiple Choice","<SPAN STYLE="""" >Bei welcher Schaltung wird die Stromst&auml;rke I3 richtig gemessen?</SPAN>","<SPAN STYLE="""" >Bei a.</SPAN>","<SPAN STYLE="""" >Bei b.</SPAN>","<SPAN STYLE="""" >Bei c.</SPAN>","<SPAN STYLE="""" >Bei d.</SPAN>","VOID","b","VOID","VOID","862","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.1","Multiple Choice","<SPAN STYLE="""" >Die Messgenauigkeit bei der Messung von elektrischen Spannungen wird erh&ouml;ht, wenn ...</SPAN>","<SPAN STYLE="""" >der Innenwiderstand des Messinstruments m&ouml;glichst klein ist.</SPAN>","<SPAN STYLE="""" >der Innenwiderstand des Messinstruments m&ouml;glichst gross ist.</SPAN>","<SPAN STYLE="""" >man immer den gr&ouml;ssten Messbereich einschaltet.</SPAN>","<SPAN STYLE="""" >man digitale Messger&auml;te immer waagrecht aufstellt.</SPAN>","VOID","b","VOID","VOID","1010","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.1","Multiple Choice","<SPAN STYLE="""" >Bei welcher Strom- oder Spannungsform zeigt ein normales Mittelwertmessinstrument (nicht ein TRMS Echteffektivmessinstrument) die richtigen Werte an?</SPAN>","<SPAN STYLE="""" >Sinusf&ouml;rmige Wechselspannungen und Wechselstr&ouml;me.</SPAN>","<SPAN STYLE="""" >Rechteckf&ouml;rmige Wechselspannungen und Wechselstr&ouml;me.</SPAN>","<SPAN STYLE="""" >An- oder abgeschnittene sinusf&ouml;rmige Wechselspannungen und Wechselstr&ouml;me (Phasenanschnitt - oder Phasenabschnittdimmer)</SPAN>","<SPAN STYLE="""" >Gleichstrom / Gleichspannung</SPAN>","VOID","ad","VOID","<SPAN STYLE="""" >Ein Mittelwertmessger&auml;t (ohne TRMS) kann nur reine sinusf&ouml;rmige Wechselspannungen und Str&ouml;me, so wie Gleichspannungen und Gleichstr&ouml;me korrekt anzeigen</SPAN>","","1021","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.1","Multiple Choice","<SPAN STYLE="""" >Ein Anwender besitzt ein Multimeter mit der Sicherheitskategorie Cat III, er kauft sich neue Messleitungen, diese sind mit Cat. IV gekennzeichnet, darf der Anwender nun das Cat. III Messger&auml;t aufgrund der h&ouml;her spezifizierten Cat. IV Messleitungen in der Cat IV Umgebung einsetzen?</SPAN>","<SPAN STYLE=""color: #002939;"" >Ja, denn es gilt f&uuml;r die Sicherheitskategorie immer das Zubeh&ouml;r als Massstab.</SPAN>","<SPAN STYLE="""" >Nein, Multimeter und Zubeh&ouml;r m&uuml;ssen beide f&uuml;r die entsprechende Kategorie zugelassen sein.</SPAN>","VOID","VOID","VOID","b","VOID","VOID","3417","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.1","Multiple Choice","<SPAN STYLE="""" >Ist das Gefahrenpotenzial in der Cat. III oder Cat. IV gr&ouml;sser als in der Cat. II?</SPAN>","<SPAN STYLE=""color: #002939;"" >Nein, denn die Netzimpedanz in Cat. IV oder Cat. III ist kleiner als in der Cat. II und somit ist auch der Kurzschlussstrom bzw. die Gefahr bei einem Kurzschluss kleiner!</SPAN>","<SPAN STYLE=""color: #002939;"" >Ja, denn die Netzimpedanz in Cat. IV oder Cat. III ist kleiner als in der Cat. II, somit ist der Kurzschlussstrom bzw. die Gefahr f&uuml;r den Anwender bei einem Kurzschluss gr&ouml;sser</SPAN><SPAN STYLE=""font-family: 'Arial';font-size: 11px;"" >!</SPAN>","<SPAN STYLE=""color: #002939;"" >Es gibt keinen Unterschied des Gefahrenpotenzials zwischen den Kategorien!</SPAN>","VOID","VOID","b","VOID","VOID","","3418","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.1","Multiple Choice","<SPAN STYLE=""color: #002939;"" >Was gilt es zu beachten wenn man an der Sekund&auml;rseite eines handels&uuml;blichen elektronischen 12V Halogentransformators die Spannung messen m&ouml;chte?</SPAN>","<SPAN STYLE=""font-size: 12px;"" >Der Halogentransformators gibt ein hochfrequentes AC Sginal ab. Es ist meist h&ouml;her als 30 kHz. Viele Messger&auml;te haben eine Bandbreite unter 1 kHz und k&ouml;nnen das schnelle Signal an der Sekund&auml;rseite des Trafos nicht korrekt messen, auch wenn es sich um TRMS Messger&auml;te handelt!</SPAN>","<SPAN STYLE=""font-size: 12px;color: #002939;"" >Es gibt nichts zu beachten, am Ausgang des Trafos misst man eine normale, sinusf&ouml;rmige Wechselspannung, dies kann mit jedem Multimeter, Elektrotester oder beliebigen Voltmeter mit Mittelwertinstrumenten und Echteffektivwertinstrumenten (TRMS) gemessen werden</SPAN>","VOID","VOID","VOID","a","VOID","VOID","3419","3420","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.1","Multiple Choice","<SPAN STYLE="""" >Welches ist die korrekte Anordnung f&uuml;r die Messung des Verbraucherstromes, Abbildung 1 oder Abbildung 2? <BR>Begr&uuml;nde die Antwort!</SPAN>","<SPAN STYLE=""color: #002939;"" >Misst man wie in Abbildung 1 mit beiden Leitern durch die Stromzange gef&uuml;hrt den Strom, heben sich die Magnetfelder der Leiter gegenseitig auf, der angezeigte Strom ist somit null.</SPAN>","<SPAN STYLE="""" >Die Anordnung wie in Bild 2 ist f&uuml;r die Messung des Verbraucherstromes korrekt! Der Strom darf  entweder nur im Hin- oder nur im R&uuml;ckleiter gemessen werden.</SPAN>","VOID","VOID","VOID","a","<SPAN STYLE="""" >Weil die Str&ouml;me im Hin- und R&uuml;ckleiter entgegengesetzt fliessen, heben sich die Magnetfelder auf. Das Messger&auml;t zeigt Null an.</SPAN>","<SPAN STYLE="""" >Weil die Str&ouml;me im Hin- und R&uuml;ckleiter entgegengesetzt fliessen, heben sich die Magnetfelder auf. Das Messger&auml;t zeigt Null an.</SPAN>","3421","3422","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.2","Multiple Choice","<SPAN STYLE="""" >Das Messger&auml;t zeigt 10 A an und hat einen Spannungsabfall von 0,3 V. Wie gross ist der Widerstandswert des Parallelwiderstandes (Shunt) in &Omega;?</SPAN>","<SPAN STYLE="""" >1 m&Omega;<BR></SPAN>","<SPAN STYLE="""" >10 m&Omega;<BR></SPAN>","<SPAN STYLE="""" >7,5 m&Omega;<BR></SPAN>","<SPAN STYLE="""" >30 m&Omega;<BR></SPAN>","VOID","b","VOID","<SPAN STYLE="""" >Um 40 A zu messen muss durch den Shunt eine Stromst&auml;rke von 40 A - 10 A = 30 A fliessen.  Der Widerstandswert betr&auml;gt: Rs = Us / Is = 0,3 V / 30 A = 0,01&Omega; = 10 m&Omega;</SPAN>","870","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.2","Multiple Choice","<SPAN STYLE="""" >Dieses Messger&auml;t wird auf Auto-V  gestellt. <BR>Es wird eine Spannung von 7,38V gemessen.<BR>Wie wird diese Spannung auf dem Messger&auml;t dargestellt?</SPAN>","<SPAN STYLE="""" >7,380 V</SPAN>","<SPAN STYLE="""" >07,38 V</SPAN>","<SPAN STYLE="""" >007,4 V</SPAN>","VOID","VOID","b","VOID","<SPAN STYLE="""" >Die vorderste Ziffer kann im Maximum die Ziffer 5 sein. Der gr&ouml;sste Messwert ist 599,9V</SPAN>","3444","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.2","Multiple Choice","<SPAN STYLE="""" >Dieses Messger&auml;t wird auf Auto-V  gestellt. <BR>Es wird eine Spannung von 398V gemessen.<BR>Wie wird diese Spannung auf dem Messger&auml;t dargestellt?</SPAN>","<SPAN STYLE="""" >398,0 V</SPAN>","<SPAN STYLE="""" >0398 V</SPAN>","<SPAN STYLE="""" >3980 V</SPAN>","<SPAN STYLE="""" >0400 V</SPAN>","VOID","a","VOID","VOID","3445","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.2","Multiple Choice","<SPAN STYLE="""" >Dieses Messger&auml;t wird auf Volt Wechselspannung echteffektiv gestellt. Zwischen welchen Anzeigewerten, kann das Messger&auml;t infolge der Messungenauigkeit eine Spannung von genau 370,0V anzeigen</SPAN>","<SPAN STYLE="""" >Zwischen 366,3V und 370,0V</SPAN>","<SPAN STYLE="""" >Zwischen 366,3V und 377,7V</SPAN>","<SPAN STYLE="""" >Zwischen 366,0V und 380,7V</SPAN>","<SPAN STYLE="""" >Zwischen 370,0V und 380,7V</SPAN>","VOID","c","<SPAN STYLE="""" >1% Fehler betr&auml;gt +/- 3,7V . Die Anzeige kann in diesem Fall zwischen 366,3V und 377,7V sein. Die letzte Ziffer kann noch um +/- 3 Digit variieren.<BR>Die tiefste Anzeige ist demnach 366,0V , die h&ouml;chste Anzeige 380,7V sein.</SPAN>","<SPAN STYLE="""" >1% Fehler betr&auml;gt +/- 3,7V . Die Anzeige kann in diesem Fall zwischen 366,3V und 377,7V sein. Die letzte Ziffer kann noch um +/- 3 Digit variieren.<BR>Die tiefste Anzeige ist demnach 366,0V , die h&ouml;chste Anzeige 380,7V sein.</SPAN>","3446","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.10.2","Multiple Choice","<SPAN STYLE="""" >Dieses Messger&auml;t wird auf Volt Wechselspannung echteffektiv gestellt. Zwischen welchen Anzeigewerten, kann das Messger&auml;t infolge der Messungenauigkeit eine Spannung von genau 8,3V anzeigen</SPAN>","<SPAN STYLE="""" >Zwischen 08,22V und 08,38V</SPAN>","<SPAN STYLE="""" >Zwischen 08,30V und 08,38V</SPAN>","<SPAN STYLE="""" >Zwischen 08,22V und 08,30V</SPAN>","<SPAN STYLE="""" >Zwischen 08,19V und 08,41V</SPAN>","VOID","d","<SPAN STYLE="""" >1% Fehler betr&auml;gt +/- 0,083V . Die vorderste Ziffer kann im Maximum eine 5 sein. M&ouml;gliche Anzeige = 8,3V - 0,083V =</SPAN><SPAN STYLE=""text-decoration:underline ;"" > 08,22V </SPAN><SPAN STYLE="""" >und 8,3V + 0,083V =  </SPAN><SPAN STYLE=""text-decoration:underline ;"" >08,38V.</SPAN><SPAN STYLE="""" > Die letzte Ziffer kann noch um +/- 3 Digit variieren. Die tiefste Anzeige ist demnach 08,19V , die h&ouml;chste Anzeige 8,41V sein.</SPAN>","<SPAN STYLE="""" >1% Fehler betr&auml;gt +/- 0,083V . Die vorderste Ziffer kann im Maximum eine 5 sein. M&ouml;gliche Anzeige = 8,3V - 0,083V =</SPAN><SPAN STYLE=""text-decoration:underline ;"" > 08,22V </SPAN><SPAN STYLE="""" >und 8,3V + 0,083V =  </SPAN><SPAN STYLE=""text-decoration:underline ;"" >08,38V.</SPAN><SPAN STYLE="""" > Die letzte Ziffer kann noch um +/- 3 Digit variieren. Die tiefste Anzeige ist demnach 08,19V , die h&ouml;chste Anzeige 8,41V sein.</SPAN>","3447","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.1","Multiple Choice","<SPAN STYLE="""" >Welches Bild zeigt einen reinen Siliziumkristall bei Raumtemperatur?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","VOID","VOID","c","VOID","VOID","960","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.1","Multiple Choice","<SPAN STYLE="""" >Mit welchen Atomen wurde der Siliziumkristall dotiert?</SPAN>","<SPAN STYLE="""" >Mit Lithium, das hat 1 Elektron auf der &auml;ussersten Schale</SPAN>","<SPAN STYLE="""" >Mit Magnesium, das hat 2 Elektronen auf der &auml;ussersten Schale</SPAN>","<SPAN STYLE="""" >Mit Gallium, das hat 3 Elektronen auf der &auml;ussersten Schale</SPAN>","<SPAN STYLE="""" >Mit Germanium, das hat 4 Elektronen auf der &auml;ussersten Schale</SPAN>","<SPAN STYLE="""" >Mit Phosphor, das hat 5 Elektronen auf der &auml;ussersten Schale</SPAN>","e","VOID","<SPAN STYLE="""" >Silizium hat 4 Elektronen auf der &auml;ussersten Schale. Das neue Atom muss also 5 Elektronen auf der &auml;ussersten Schale haben.</SPAN>","962","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.1","Multiple Choice","<SPAN STYLE="""" >Mit welchen Atomen wurde der Siliziumkristall dotiert?</SPAN>","<SPAN STYLE="""" >Mit Lithium, das hat 1 Elektron auf der &auml;ussersten Schale</SPAN>","<SPAN STYLE="""" >Mit Magnesium, das hat 2 Elektronen auf der &auml;ussersten Schale</SPAN>","<SPAN STYLE="""" >Mit Gallium, das hat 3 Elektronen auf der &auml;ussersten Schale</SPAN>","<SPAN STYLE="""" >Mit Germanium, das hat 4 Elektronen auf der &auml;ussersten Schale</SPAN>","<SPAN STYLE="""" >Mit Phosphor, das hat 5 Elektronen auf der &auml;ussersten Schale</SPAN>","c","VOID","<SPAN STYLE="""" >Silizium hat 4 Elektronen auf der &auml;ussersten Schale. Das neue Atom muss also 3 Elektronen auf der &auml;ussersten Schale haben.</SPAN>","963","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.1","Multiple Choice","<SPAN STYLE="""" >Bei diesem P-N-&Uuml;bergang ist die Sperrschicht schmaler geworden. Was k&ouml;nnte der Grund dieser Ver&auml;nderung sein?</SPAN>","<SPAN STYLE="""" >Weil beide Seiten viel st&auml;rker dotiert worden sind.</SPAN>","<SPAN STYLE="""" >Weil beide Seiten viel schw&auml;cher dotiert worden sind.</SPAN>","<SPAN STYLE="""" >Weil eine Spannung angelegt wurde + an N und - an P.</SPAN>","<SPAN STYLE="""" >Weil eine Spannung angelegt wurde + an P und - an N.</SPAN>","VOID","d","VOID","VOID","965","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.1","Multiple Choice","<SPAN STYLE="""" >Damit bei einem P-N &Uuml;bergang eine Sperrschicht entsteht, muss..</SPAN>","<SPAN STYLE="""" >immer eine &auml;usserer Spannung anliegen.</SPAN>","<SPAN STYLE="""" >nur kurzeitig eine Spannung angelegt werden.</SPAN>","<SPAN STYLE="""" >keine Spannung angelegt werden</SPAN>","<SPAN STYLE="""" >der P-N-&Uuml;bergang ausserhalb kurzzeitig kurzgeschlossen werden.</SPAN>","VOID","c","VOID","VOID","966","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.1","Multiple Choice","<SPAN STYLE="""" >Welche Ladungstr&auml;ger sind bei N-dotiertem Halbleitermaterial vorwiegend am Ladungstransport beteiligt?</SPAN>","<SPAN STYLE="""" >Freie Elektronen</SPAN>","<SPAN STYLE="""" >3-wertige Fremdatome</SPAN>","<SPAN STYLE="""" >5-wertige Fremdatome</SPAN>","<SPAN STYLE="""" >Bewegliche positive L&ouml;cher</SPAN>","VOID","a","VOID","VOID","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.1","Multiple Choice","<SPAN STYLE="""" >Ein undotierter Siliziumkristall leitet den elektrischen Strom bei Raumtemperatur. Man nennt dies &quot;Eigenleitung&quot;. Welche Ladungstr&auml;ger sind, bei dieser Eigenleitung, beim Stromtransport beteiligt?</SPAN>","<SPAN STYLE="""" >Nur Elektronen</SPAN>","<SPAN STYLE="""" >Elektronen und L&ouml;cher</SPAN>","<SPAN STYLE="""" >Atomkerne und Elektronen</SPAN>","<SPAN STYLE="""" >Atomkerne und L&ouml;cher</SPAN>","VOID","b","VOID","VOID","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.1","Multiple Choice","<SPAN STYLE="""" >Welche Stoffe werden als Halbleitermaterialien verwendet?</SPAN>","<SPAN STYLE="""" >Germanium</SPAN>","<SPAN STYLE="""" >Messing</SPAN>","<SPAN STYLE="""" >Silizium</SPAN>","<SPAN STYLE="""" >Kupfer</SPAN>","VOID","ca","VOID","VOID","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.1","Multiple Choice","<SPAN STYLE="""" >Bei welcher Polung ist ein pn-&Uuml;bergang gesperrt?</SPAN>","<SPAN STYLE="""" >Wenn der Spannungspluspol bei p anliegt.</SPAN>","<SPAN STYLE="""" >Er ist immer gesperrt.</SPAN>","<SPAN STYLE="""" >Wenn das negative Potential bei p anliegt.</SPAN>","<SPAN STYLE="""" >Wenn der Spannungsminuspol bei n anliegt.</SPAN>","VOID","c","VOID","VOID","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.1","Multiple Choice","<SPAN STYLE="""" >Welche Ladungstr&auml;ger sind bei p-dotiertem Halbleitermaterial vorwiegend am Ladungstransport beteiligt?</SPAN>","<SPAN STYLE="""" >Freie Elektronen</SPAN>","<SPAN STYLE="""" >3-wertige Fremdatome</SPAN>","<SPAN STYLE="""" >5-wertige Fremdatome</SPAN>","<SPAN STYLE="""" >Bewegliche positive L&ouml;cher</SPAN>","VOID","d","VOID","VOID","","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Welche beiden Taster schalten die gleichen Lampen ein?</SPAN>","<SPAN STYLE="""" >S1</SPAN>","<SPAN STYLE="""" >S2</SPAN>","<SPAN STYLE="""" >S3</SPAN>","<SPAN STYLE="""" >S4</SPAN>","VOID","ad","VOID","VOID","883","884","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Mit welcher Taste kann H5 eingeschaltet werden?</SPAN>","<SPAN STYLE="""" >S2</SPAN>","<SPAN STYLE="""" >S3</SPAN>","<SPAN STYLE="""" >S4</SPAN>","<SPAN STYLE="""" >S5</SPAN>","<SPAN STYLE="""" >S6</SPAN>","b","VOID","VOID","885","886","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Bei welchem Bild ist die Ausgangsspannung Ua richtig eingezeichnet?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","<SPAN STYLE="""" >bei keinem Bild</SPAN>","d","VOID","<SPAN STYLE="""" >Die Spannung &uuml;ber den Dioden kann nicht gr&ouml;sser als (4 * 0,7 V )  = 2,8 V werden. Die Spannung Ua &uuml;ber dem Widerstand entsteht erst, wenn ein Strom fliesst. Ein Strom kann erst fliessen, wenn die Schleusenspannung der 4 Dioden &uuml;berschritten wird.</SPAN>","890","891","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Welche Schaltung ist geeignet um einen Akkumulator zu laden?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","<SPAN STYLE="""" >keine</SPAN>","c","VOID","VOID","892","893","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Die 4 Taster wurden nacheinander der Reihe nach kurz gedr&uuml;ckt. Jedes Mal haben gleichzeitig verschiedene Lampen geleuchtet. Welche Lampe hat nach allen Schaltungen nur einmal geleuchtet?</SPAN>","<SPAN STYLE="""" >H1</SPAN>","<SPAN STYLE="""" >H2</SPAN>","<SPAN STYLE="""" >H3</SPAN>","<SPAN STYLE="""" >H4</SPAN>","<SPAN STYLE="""" >Keine</SPAN>","c","VOID","VOID","896","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Wie nennt man diese Schaltung?</SPAN>","<SPAN STYLE="""" >Einweg-Gleichrichter</SPAN>","<SPAN STYLE="""" >Mittelpunktschaltung</SPAN>","<SPAN STYLE="""" >3-Weg Gleichrichter</SPAN>","<SPAN STYLE="""" >Ein-Puls Gleichrichter</SPAN>","<SPAN STYLE="""" >Br&uuml;ckenschaltung</SPAN>","b","<SPAN STYLE="""" >Es ist ein 2-Weg-Gleichrichter und hat die gleiche Ausgangsspannung wie ein Br&uuml;ckengleichrichter. Jedoch ist ein Transformator mit Mittelanzapfung notwendig.</SPAN>","VOID","897","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Jeder Alarm wird einzeln (1;2;3) und &uuml;ber den Sammelalarm angezeigt. Wird die Taste LK (Lampenkontrolle) gedr&uuml;ckt, (alle nicht defekten Lampen leuchten) darf der Sammelalarm nicht ausgel&ouml;st werden. Wo sind die Dioden richtig eingesetzt? (2L&ouml;s.)</SPAN>","<SPAN STYLE="""" >Bei Bild a</SPAN>","<SPAN STYLE="""" >Bei Bild b</SPAN>","<SPAN STYLE="""" >Bei Bild c</SPAN>","<SPAN STYLE="""" >Bei Bild d</SPAN>","VOID","ac","VOID","VOID","902","903","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Bei welchen Schaltungen kann eine Br&uuml;ckenschaltung verdrahtet werden. Bestehende Verbindungen d&uuml;rfen nicht gel&ouml;st werden.</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","ad","VOID","VOID","910","911","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Bei welchem Bild ist die Ausgangsspannung Ua richtig eingezeichnet?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","a","VOID","VOID","912","913","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Welche Schaltungen sind richtig verdrahtet?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","cd","VOID","VOID","914","915","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Bei welcher Schaltung leuchtet die Lampe A am st&auml;rksten?<BR>(Beide Lampen haben die gleichen Nennwerte)</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","<SPAN STYLE="""" >e</SPAN>","d","VOID","VOID","916","917","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Welche Schaltungen funktionieren als Vollweg-Gleichrichter?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","bd","<SPAN STYLE="""" >Die Schaltungen b und d sind 2-Weg-Gleichrichter. Man nennt sie auch Vollweg-Gleichrichter.</SPAN>","<SPAN STYLE="""" >Die Schaltungen b und d sind 2-Weg-Gleichrichter. Man nennt sie auch Vollweg-Gleichrichter.</SPAN>","918","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Bei welcher Schaltung liegt am Lastwiderstand die eingef&auml;rbt gezeichnete Spannung an?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","d","VOID","VOID","919","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Bei welchen Schaltungen liegt am Lastwiderstand die eingef&auml;rbt gezeichnete Spannung an?</SPAN>","<SPAN STYLE="""" >a</SPAN>","<SPAN STYLE="""" >b</SPAN>","<SPAN STYLE="""" >c</SPAN>","<SPAN STYLE="""" >d</SPAN>","VOID","ac","VOID","VOID","920","","<SPAN STYLE="""" >FK</SPAN>","1"
"5.11.2","Multiple Choice","<SPAN STYLE="""" >Bei welcher Schaltung leuchtet die Lampe am st&auml;rksten?</SPAN>","<SPAN STYLE="""" >Bei a</SPAN>","<SPAN STYLE="""" >Bei b</SPAN>","<SPAN STYLE="""" >Bei c</SPAN>","<SPAN STYLE="""" >Bei d</SPAN>","VOID","c","VOID","<SPAN STYLE="""" >a) ULampe = 0 V<BR>b) ULampe = 0,7 V<BR>c) ULampe = 9,3 V<BR>d) ULampe = 5,6 V</SPAN>","926","927","<SPAN STYLE="""" >FK</SPAN>","1"
